Acronimo,neighbourhood_group_cleansed,neighbourhood_cleansed,count_neighbourhood_group,sum_reviews,mean_nights,promedio_dias_disponibles,promedio_dias_alquilados_2023,promedio_dias_alquiler_2024,promedio_cantidad_reservas_2022,Precio Medio,alquileres_maximos_por_lugar,ganacia_anual_promedio,promedio_dias_2022,scores_location
NYC,Bronx,Allerton,53,2346,7.0,229.0,104.0,32.0,20.0,122.0,33.0,28182.0,139.0,5.0
NYC,Bronx,Baychester,39,1176,8.0,197.0,127.0,41.0,18.0,110.0,25.0,22000.0,145.0,5.0
NYC,Bronx,Belmont,44,759,11.0,213.0,128.0,24.0,11.0,112.0,19.0,23408.0,119.0,5.0
NYC,Bronx,Bronxdale,26,635,18.0,173.0,155.0,37.0,8.0,84.0,10.0,15120.0,135.0,5.0
NYC,Bronx,Castle Hill,8,364,54.0,251.0,98.0,16.0,6.0,105.0,5.0,28350.0,67.0,5.0
NYC,Bronx,City Island,13,820,9.0,222.0,108.0,35.0,14.0,152.0,25.0,34200.0,123.0,5.0
NYC,Bronx,Claremont Village,38,583,20.0,204.0,129.0,32.0,9.0,108.0,10.0,21600.0,177.0,4.0
NYC,Bronx,Clason Point,53,975,9.0,264.0,86.0,15.0,11.0,107.0,29.0,27927.0,103.0,5.0
NYC,Bronx,Co-op City,4,49,16.0,145.0,187.0,32.0,2.0,73.0,9.0,10512.0,27.0,4.0
NYC,Bronx,Concourse,58,3037,10.0,179.0,154.0,32.0,1.0,111.0,18.0,19980.0,10.0,5.0
NYC,Bronx,Concourse Village,44,938,14.0,226.0,114.0,25.0,12.0,94.0,16.0,21056.0,163.0,5.0
NYC,Bronx,Country Club,2,22,18.0,110.0,190.0,64.0,4.0,148.0,6.0,15984.0,63.0,5.0
NYC,Bronx,East Morrisania,11,90,17.0,139.0,185.0,41.0,2.0,105.0,8.0,14280.0,36.0,5.0
NYC,Bronx,Eastchester,15,415,4.0,260.0,84.0,21.0,21.0,152.0,65.0,39520.0,84.0,5.0
NYC,Bronx,Edenwald,31,596,11.0,212.0,125.0,28.0,10.0,102.0,19.0,21318.0,115.0,5.0
NYC,Bronx,Fieldston,8,131,6.0,273.0,67.0,24.0,12.0,101.0,46.0,27876.0,74.0,5.0
NYC,Bronx,Fordham,80,966,11.0,173.0,153.0,39.0,12.0,92.0,16.0,16192.0,132.0,4.0
NYC,Bronx,Highbridge,31,341,11.0,173.0,157.0,35.0,15.0,83.0,16.0,14608.0,168.0,5.0
NYC,Bronx,Hunts Point,34,490,18.0,181.0,153.0,31.0,8.0,82.0,10.0,14760.0,147.0,4.0
NYC,Bronx,Kingsbridge,86,1470,17.0,143.0,180.0,42.0,2.0,102.0,8.0,13872.0,26.0,5.0
NYC,Bronx,Longwood,77,1442,10.0,197.0,138.0,30.0,10.0,239.0,20.0,47800.0,102.0,4.0
NYC,Bronx,Melrose,26,794,13.0,202.0,133.0,30.0,2.0,111.0,16.0,23088.0,21.0,4.0
NYC,Bronx,Morris Heights,39,461,6.0,220.0,122.0,24.0,12.0,84.0,37.0,18648.0,74.0,4.0
NYC,Bronx,Morris Park,35,626,12.0,210.0,130.0,26.0,9.0,98.0,17.0,19992.0,113.0,5.0
NYC,Bronx,Morrisania,20,491,9.0,200.0,137.0,28.0,21.0,96.0,22.0,19008.0,186.0,5.0
NYC,Bronx,Mott Haven,97,3054,8.0,207.0,127.0,31.0,17.0,136.0,26.0,28288.0,136.0,4.0
NYC,Bronx,Mount Eden,14,331,2.0,302.0,48.0,16.0,14.0,85.0,151.0,25670.0,29.0,4.0
NYC,Bronx,Mount Hope,39,1195,9.0,220.0,119.0,25.0,14.0,103.0,24.0,22248.0,129.0,4.0
NYC,Bronx,North Riverdale,10,154,3.0,159.0,161.0,45.0,10.0,137.0,53.0,21783.0,31.0,5.0
NYC,Bronx,Norwood,41,675,9.0,211.0,124.0,30.0,8.0,102.0,23.0,21114.0,68.0,5.0
