Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-01-2012,0.0,0.0,0.0,0.0,0.0
01-02-2012,0.0,0.0,0.0,0.0,0.0
01-03-2012,0.0,0.0,0.0,0.0,0.0
01-04-2012,0.0,0.0,0.0,0.0,0.0
01-05-2012,0.0,0.0,0.0,0.0,0.0
01-06-2012,0.0,0.0,0.0,0.0,0.0
01-07-2012,0.0,0.0,0.0,0.0,0.0
01-08-2012,0.0,0.0,0.0,0.0,0.0
01-09-2012,0.0,0.0,0.0,0.0,0.0
01-10-2012,0.0,0.0,0.0,0.0,0.0
01-11-2012,0.0,0.0,0.0,0.0,0.0
01-12-2012,0.0,0.0,0.0,0.0,0.0
01-01-2013,0.0,0.0,0.0,0.0,0.0
01-02-2013,0.0,0.0,0.0,0.0,0.0
01-03-2013,0.0,0.0,0.0,0.0,0.0
01-04-2013,0.0,0.0,0.0,0.0,0.0
01-05-2013,0.0,0.0,0.0,0.0,0.0
01-06-2013,0.0,0.0,0.0,0.0,0.0
01-07-2013,0.0,0.0,0.0,0.0,0.0
01-08-2013,0.0,0.0,0.0,0.0,0.0
01-09-2013,0.0,0.0,0.0,0.0,0.0
01-10-2013,0.0,0.0,0.0,0.0,0.0
01-11-2013,0.0,0.0,0.0,0.0,0.0
01-12-2013,0.0,0.0,0.0,0.0,0.0
01-01-2014,0.0,0.0,0.0,0.0,0.0
01-02-2014,0.0,0.0,0.0,0.0,0.0
01-03-2014,0.0,0.0,0.0,0.0,0.0
01-04-2014,0.0,0.0,0.0,0.0,0.0
01-05-2014,0.0,0.0,0.0,0.0,0.0
01-06-2014,0.0,0.0,0.0,0.0,0.0
01-07-2014,0.0,0.0,0.0,0.0,0.0
01-08-2014,0.0,0.0,0.0,0.0,0.0
01-09-2014,0.0,0.0,0.0,0.0,0.0
01-10-2014,0.0,0.0,0.0,0.0,0.0
01-11-2014,0.0,0.0,0.0,0.0,0.0
01-12-2014,0.0,0.0,0.0,0.0,0.0
01-01-2015,0.0,0.0,0.0,0.0,0.0
01-02-2015,0.0,0.0,0.0,0.0,0.0
01-03-2015,0.0,0.0,0.0,0.0,0.0
01-04-2015,0.0,0.0,0.0,0.0,0.0
01-05-2015,0.0,0.0,0.0,0.0,0.0
01-06-2015,0.0,0.0,0.0,0.0,0.0
01-07-2015,521.0,1751.0,3792.0,2771.0,1123.0
01-08-2015,547.0,1859.0,3915.0,2937.0,1207.0
01-09-2015,536.0,1820.0,3658.0,2999.0,1240.0
01-10-2015,549.0,1770.0,3624.0,3089.0,1319.0
01-11-2015,538.0,1628.0,3408.0,2944.0,1267.0
01-12-2015,589.0,1650.0,3375.0,2920.0,1327.0
01-01-2016,568.0,1610.0,3098.0,2743.0,1200.0
01-02-2016,561.0,1607.0,3092.0,2783.0,1177.0
01-03-2016,531.0,1569.0,2974.0,2676.0,1073.0
01-04-2016,521.0,1513.0,2975.0,2595.0,1076.0
01-05-2016,516.0,1558.0,3077.0,2543.0,1042.0
01-06-2016,536.0,1595.0,3390.0,2612.0,1080.0
01-07-2016,550.0,1686.0,3487.0,2697.0,1161.0
01-08-2016,600.0,1806.0,3618.0,2957.0,1355.0
01-09-2016,596.0,1838.0,3314.0,3046.0,1465.0
01-10-2016,628.0,1839.0,3423.0,3176.0,1444.0
01-11-2016,576.0,1731.0,3295.0,2989.0,1366.0
01-12-2016,588.0,1709.0,3532.0,2913.0,1336.0
01-01-2017,556.0,1749.0,3519.0,2850.0,1343.0
01-02-2017,561.0,1738.0,3588.0,2725.0,1273.0
01-03-2017,527.0,1775.0,3414.0,2649.0,1202.0
01-04-2017,514.0,1731.0,3389.0,2545.0,1135.0
01-05-2017,542.0,1812.0,4106.0,2640.0,1178.0
01-06-2017,589.0,2000.0,5082.0,2775.0,1237.0
01-07-2017,628.0,2105.0,5399.0,2907.0,1306.0
01-08-2017,655.0,2259.0,5592.0,3176.0,1457.0
01-09-2017,641.0,2027.0,5064.0,3108.0,1429.0
01-10-2017,685.0,2037.0,5118.0,3284.0,1585.0
01-11-2017,665.0,1827.0,4523.0,3108.0,1478.0
01-12-2017,670.0,1942.0,4500.0,3127.0,1551.0
01-01-2018,641.0,1945.0,4356.0,2933.0,1399.0
01-02-2018,603.0,1878.0,4078.0,2707.0,1338.0
01-03-2018,572.0,1730.0,3875.0,2608.0,1211.0
01-04-2018,536.0,1635.0,3834.0,2509.0,1204.0
01-05-2018,588.0,1794.0,4128.0,2700.0,1211.0
01-06-2018,580.0,1936.0,4376.0,2837.0,1277.0
01-07-2018,618.0,2061.0,4740.0,3012.0,1360.0
01-08-2018,633.0,2114.0,5138.0,3052.0,1523.0
01-09-2018,649.0,2006.0,4883.0,2908.0,1489.0
01-10-2018,652.0,1992.0,4774.0,2966.0,1459.0
01-11-2018,607.0,1826.0,4261.0,2892.0,1311.0
01-12-2018,621.0,1818.0,4235.0,2888.0,1318.0
01-01-2019,583.0,1724.0,3869.0,2744.0,1238.0
01-02-2019,568.0,1657.0,3693.0,2552.0,1128.0
01-03-2019,544.0,1650.0,3648.0,2523.0,1014.0
01-04-2019,568.0,1654.0,3814.0,2476.0,945.0
01-05-2019,588.0,1788.0,4252.0,2682.0,1025.0
01-06-2019,586.0,1885.0,4948.0,2707.0,1120.0
01-07-2019,602.0,1928.0,4971.0,2816.0,1240.0
01-08-2019,599.0,1969.0,4914.0,2881.0,1389.0
01-09-2019,616.0,1910.0,4339.0,2954.0,1326.0
01-10-2019,598.0,1938.0,4315.0,3032.0,1328.0
01-11-2019,595.0,1819.0,3864.0,2980.0,1151.0
01-12-2019,589.0,1885.0,3761.0,2985.0,1252.0
01-01-2020,587.0,1868.0,3724.0,2897.0,1199.0
01-02-2020,587.0,1898.0,3812.0,2737.0,1188.0
01-03-2020,537.0,1712.0,3499.0,2511.0,1043.0
01-04-2020,435.0,1392.0,2835.0,1912.0,836.0
01-05-2020,358.0,1245.0,2435.0,1551.0,708.0
01-06-2020,345.0,1193.0,2435.0,1424.0,716.0
01-07-2020,374.0,1254.0,2589.0,1666.0,804.0
01-08-2020,384.0,1183.0,2438.0,1821.0,890.0
01-09-2020,405.0,1186.0,2133.0,1889.0,969.0
01-10-2020,443.0,1435.0,2158.0,2191.0,1295.0
01-11-2020,496.0,1712.0,2399.0,2436.0,1545.0
01-12-2020,551.0,2108.0,2916.0,2954.0,1800.0
01-01-2021,597.0,2198.0,3241.0,2979.0,1744.0
01-02-2021,628.0,2276.0,3728.0,3107.0,1652.0
01-03-2021,654.0,2343.0,4376.0,3152.0,1552.0
01-04-2021,658.0,2502.0,4937.0,3224.0,1501.0
01-05-2021,687.0,2614.0,5537.0,3327.0,1546.0
01-06-2021,695.0,2708.0,6001.0,3346.0,1530.0
