Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-01-2012,,,,,
01-02-2012,,,,,
01-03-2012,,,,,
01-04-2012,,,,,
01-05-2012,,,,,
01-06-2012,,,,,
01-07-2012,,,,,
01-08-2012,,,,,
01-09-2012,,,,,
01-10-2012,,,,,
01-11-2012,,,,,
01-12-2012,,,,,
01-01-2013,,,,,
01-02-2013,,,,,
01-03-2013,,,,,
01-04-2013,,,,,
01-05-2013,,,,,
01-06-2013,,,,,
01-07-2013,,,,,
01-08-2013,,,,,
01-09-2013,,,,,
01-10-2013,,,,,
01-11-2013,,,,,
01-12-2013,,,,,
01-01-2014,,,,,
01-02-2014,,,,,
01-03-2014,,,,,
01-04-2014,,,,,
01-05-2014,,,,,
01-06-2014,,,,,
01-07-2014,,,,,
01-08-2014,,,,,
01-09-2014,,,,,
01-10-2014,,,,,
01-11-2014,,,,,
01-12-2014,,,,,
01-01-2015,,,,,
01-02-2015,,,,,
01-03-2015,,,,,
01-04-2015,,,,,
01-05-2015,,,,,
01-06-2015,,,,,
01-07-2015,320738.36,712829.8684210526,1216697.847826087,457962.7132352941,409034.6153846154
01-08-2015,327244.72,730797.2837837838,1229062.9855072463,473225.07352941175,418573.53846153844
01-09-2015,340694.72,753763.5135135135,1255043.9782608696,494265.7132352941,420192.3076923077
01-10-2015,344691.6666666667,746592.697368421,1272524.1956521738,481040.7205882353,416171.53846153844
01-11-2015,341125.0,733531.1842105263,1321258.8768115942,478444.4705882353,413715.76923076925
01-12-2015,316814.0,736594.5394736842,1297769.7536231885,473903.20588235295,413328.8461538461
01-01-2016,326793.4,769598.6891891892,1372601.384057971,472031.48529411765,421634.6153846154
01-02-2016,326520.0,778419.6621621621,1423488.4347826086,488574.3823529412,424230.76923076925
01-03-2016,361697.2,826340.8513513514,1385372.9420289856,478300.9044117647,427319.23076923075
01-04-2016,359884.0,780002.2702702703,1265567.3550724639,492296.5,425126.92307692306
01-05-2016,350592.0,805100.2432432432,1238310.927536232,496385.5367647059,428653.8461538461
01-06-2016,357443.68,818165.2027027027,1295935.6231884058,516962.75373134325,442000.0
01-07-2016,361222.0,837151.8108108108,1312526.036231884,532426.7058823529,448433.46153846156
01-08-2016,347191.0,868240.2027027027,1261150.347826087,531478.8088235294,459282.6538461539
01-09-2016,345133.0,884234.4459459459,1217592.0289855073,540227.5072463768,466432.0
01-10-2016,356792.0,881347.7567567568,1181800.847826087,534754.9565217391,475582.23076923075
01-11-2016,376518.0,878298.6184210526,1238110.1594202898,541985.0144927537,473338.42307692306
01-12-2016,362128.0,850455.947368421,1253574.1884057971,546287.7941176471,483611.53846153844
01-01-2017,360841.52,853847.3947368421,1309267.079710145,553309.125,479192.3076923077
01-02-2017,360577.5,862689.2631578947,1291468.6956521738,537203.9558823529,485076.92307692306
01-03-2017,365058.0,848896.5,1285800.1014492754,532951.7426470588,490807.6923076923
01-04-2017,360310.4166666667,874425.4054054054,1282917.4117647058,533410.0294117647,489223.07692307694
01-05-2017,393494.0,869069.8783783783,1283852.6449275361,558366.2352941176,489888.46153846156
01-06-2017,392836.0,872992.8918918918,1364888.1376811594,544594.3382352941,499785.8076923077
01-07-2017,406982.0,842504.25,1435439.2391304348,557426.5735294118,502195.76923076925
01-08-2017,418404.92,841440.5263157894,1393199.1231884058,557752.875,509203.8461538461
01-09-2017,415899.0,832466.8157894737,1362729.0869565217,570878.0588235294,509218.6538461539
01-10-2017,434610.76,840295.7432432432,1301639.7463768115,577204.0882352941,520253.8461538461
01-11-2017,422825.36,854563.5945945946,1260066.0,587550.5294117647,522990.76923076925
01-12-2017,420570.0,837310.8421052631,1267339.036231884,585614.8260869565,527253.8461538461
01-01-2018,400369.38,864664.3421052631,1244025.6956521738,577271.1159420289,529299.6153846154
01-02-2018,399035.72,864595.0921052631,1251043.8405797102,577141.195652174,539538.4615384615
01-03-2018,417763.44,890703.8513513514,1252559.3550724639,589247.3188405797,537576.9230769231
01-04-2018,420178.2,885027.9459459459,1241703.6304347827,567065.0724637681,541376.5384615385
01-05-2018,398254.88,846138.9868421053,1238971.2971014492,572752.8014705882,537368.4615384615
01-06-2018,409033.5,856867.7368421053,1235736.6231884058,596853.3088235294,543616.3461538461
01-07-2018,424863.14,904199.697368421,1276145.1594202898,605894.7352941176,542076.8461538461
01-08-2018,447265.34,931045.2027027027,1273091.579710145,620324.9264705882,541153.8461538461
01-09-2018,452551.04,901474.1621621621,1273259.5507246377,612258.7898550725,544841.8461538461
01-10-2018,462798.0,896051.9459459459,1248944.536231884,610667.4927536232,531731.1538461539
01-11-2018,462731.1304347826,893119.7567567568,1280361.8115942029,622812.5652173914,551899.5384615385
01-12-2018,477082.7916666667,924804.1081081082,1293924.5869565217,627189.1029411765,557367.0384615385
01-01-2019,496749.48,910572.7297297297,1249472.0507246377,626239.0588235294,560380.7692307692
01-02-2019,476474.78,900532.8108108108,1222718.8550724639,624207.1691176471,552235.0
01-03-2019,467182.2,858178.5675675676,1291820.0652173914,617469.9558823529,546070.2307692308
01-04-2019,475764.24,873905.0405405406,1310407.4347826086,605865.8455882353,540011.5384615385
01-05-2019,442541.84,876030.1486486486,1309872.1956521738,612991.3161764706,542903.8461538461
01-06-2019,468197.04,931327.2702702703,1392087.2536231885,621062.2536231884,532807.6923076923
01-07-2019,480529.0,923518.4594594594,1419217.043478261,619381.2173913043,552461.5384615385
01-08-2019,511602.0,890502.447368421,1332672.608695652,638500.0,557457.6923076923
01-09-2019,525896.875,898244.5,1238900.6884057971,647522.5661764706,568652.6923076923
01-10-2019,478850.1458333333,867936.5789473684,1175976.115942029,639714.1544117647,565357.9615384615
01-11-2019,471347.9166666667,902211.7837837838,1178399.0507246377,629740.6666666666,559449.2307692308
