Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-01-2012,,,,,
01-02-2012,,,,,
01-03-2012,,,,,
01-04-2012,,,,,
01-05-2012,,,,,
01-06-2012,,,,,
01-07-2012,,,,,
01-08-2012,,,,,
01-09-2012,,,,,
01-10-2012,,,,,
01-11-2012,,,,,
01-12-2012,,,,,
01-01-2013,,,,,
01-02-2013,,,,,
01-03-2013,,,,,
01-04-2013,,,,,
01-05-2013,,,,,
01-06-2013,,,,,
01-07-2013,,,,,
01-08-2013,,,,,
01-09-2013,,,,,
01-10-2013,,,,,
01-11-2013,,,,,
01-12-2013,,,,,
01-01-2014,,,,,
01-02-2014,,,,,
01-03-2014,,,,,
01-04-2014,,,,,
01-05-2014,,,,,
01-06-2014,,,,,
01-07-2014,,,,,
01-08-2014,,,,,
01-09-2014,,,,,
01-10-2014,,,,,
01-11-2014,,,,,
01-12-2014,,,,,
01-01-2015,,,,,
01-02-2015,,,,,
01-03-2015,,,,,
01-04-2015,,,,,
01-05-2015,,,,,
01-06-2015,,,,,
01-07-2015,179.5996144068944,545.2653059239162,1259.9740286568117,346.850706113426,251.55585561619708
01-08-2015,179.20332499620193,545.5268946120427,1267.5582603779415,351.71090636619664,251.75367887852676
01-09-2015,181.86190626235577,548.5535097195811,1303.1858928524655,348.31466473623107,248.2839308263227
01-10-2015,182.38061650069915,546.8756566305501,1297.089290039906,357.5803074198971,246.60429661341456
01-11-2015,187.6433848734147,545.1012362185093,1328.3674297859138,351.17133583585536,246.20227136695286
01-12-2015,187.95542019422018,553.1352573324443,1304.866258920978,352.09718613682963,243.8841012593533
01-01-2016,193.83005292024774,568.5605046881702,1342.297924798866,355.78057075924096,244.4162802738769
01-02-2016,185.8373172897353,554.0763158893504,1377.2967276180873,357.9356606830306,245.05157869303463
01-03-2016,187.19485256674213,547.8931072148048,1359.6036265432904,359.2525680904354,244.16946184584847
01-04-2016,191.27926141681309,551.7658708633763,1331.5551132093628,355.2473033588051,241.92872930966894
01-05-2016,195.6482070325983,567.0109990342468,1337.0107385278072,363.9316597400336,246.1859551327367
01-06-2016,204.18623203907802,578.3169208387226,1332.2396278127799,348.15717869402283,254.34444005626736
01-07-2016,207.01999868606853,595.3745112826084,1308.011015808033,376.8581444425944,261.5336197067096
01-08-2016,196.12638327525173,589.2257983652506,1278.055989457362,377.5125728853392,263.7567668663768
01-09-2016,202.75158788747817,581.8351177442066,1280.190003187851,382.61745848097144,267.4305978913147
01-10-2016,218.9406419345179,575.1565399855248,1314.0222995346562,384.02868316106554,271.6910004080583
01-11-2016,228.02963986556696,573.0114876295999,1300.8204091411524,397.94266220043113,274.34525860265734
01-12-2016,216.08239578020914,577.807934137326,1287.4756661766535,406.14132855539987,275.89574720227677
01-01-2017,215.0981407751246,580.0895735521302,1290.19269519586,417.12475879592523,276.8083195035702
01-02-2017,214.33204201874133,576.7979601448887,1288.884393264098,405.3031513280268,280.68952320428883
01-03-2017,216.93706686726222,589.7089608757524,1306.5914786272535,403.69566991288923,282.4873590726645
01-04-2017,223.69065111382577,605.5249064126758,1296.547820715053,392.69514494632944,288.5914312199399
01-05-2017,226.76025079981684,618.1587772688304,1339.3079906780026,409.14559826800814,289.3461405489124
01-06-2017,237.2115937505157,633.3754567769461,1338.2444478418693,414.9640427279708,296.2108680174166
01-07-2017,240.43215039713618,646.8479444542202,1346.1727047744178,420.03205596794515,297.87875649669417
01-08-2017,240.4873578316938,656.0053755556727,1340.6289356561692,431.6846534413958,297.78138337880426
01-09-2017,231.77666900557844,626.1124130427842,1372.0561447000712,429.3471302660494,304.2323379704696
01-10-2017,228.42213460496203,636.221553697825,1349.7238420399456,429.6717612558215,305.0887681681054
01-11-2017,244.05083317300637,644.4449500737089,1335.7865916648955,436.1653215320537,310.96240381783747
01-12-2017,248.84714315914724,658.3157158350137,1342.3007824556796,430.94588570339545,312.9775032849099
01-01-2018,249.05384407382965,661.7815005011568,1354.1748937916932,412.7240353747975,312.6842624456377
01-02-2018,242.7780488574008,669.6293109522276,1334.9799448357724,421.9545550462082,314.0900534034897
01-03-2018,236.78279675369168,660.0358208909665,1327.9260857446652,418.86043350895085,310.9390217829184
01-04-2018,245.79303759717695,675.2243939204989,1330.6138045908162,459.19285961540396,312.3858278048266
01-05-2018,251.6887839096158,671.1623653524748,1355.6365522616034,438.4064460932064,310.7485596273176
01-06-2018,262.2243702246935,686.6703560416015,1320.0961967075323,438.5668388141317,316.2449195111615
01-07-2018,261.10299740180494,670.2098850188802,1320.1599236477768,442.6808860775309,318.1631211144826
01-08-2018,267.58780241137094,670.1114393341718,1305.7518114527136,441.1338245725144,322.69373184425143
01-09-2018,280.8930190619474,680.5820045784004,1307.5997403654403,448.1225936981918,324.72529107783134
01-10-2018,267.8474495367658,677.5370931952243,1307.7213067907862,457.97902325802903,327.26143888747714
01-11-2018,279.024339144719,664.2012431453088,1312.9581521203286,466.11103106598273,326.7708313847535
01-12-2018,275.72455322958126,646.9716821562839,1313.5124647689559,468.74419063631314,329.84479740255614
01-01-2019,287.6596763870692,645.5156363456869,1284.1557779672112,474.3118830562447,333.7267100822433
01-02-2019,281.9435325809186,649.9226250423263,1282.0127229388445,478.77831902528914,331.9034367711603
01-03-2019,268.2001987861206,647.8542967605813,1310.3668551204642,452.7588630626733,330.11401610851175
01-04-2019,274.1787459263107,658.9423441435896,1308.5648800504932,436.3382749072157,331.6217761614455
01-05-2019,268.0178349160039,662.6556169273503,1306.0099105218114,441.8027183705014,333.39364191148786
01-06-2019,294.15643657111144,682.3849714166688,1348.904634794986,440.7866880043671,338.34558312262897
01-07-2019,275.2948606080475,677.4700188479565,1382.431099277638,452.7687163369965,340.9278210905646
01-08-2019,282.99224579247857,666.4177384760708,1347.6026137593726,447.48354692904144,341.87583524669867
