Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-01-2012,,,,,
01-02-2012,,,,,
01-03-2012,,,,,
01-04-2012,,,,,
01-05-2012,,,,,
01-06-2012,,,,,
01-07-2012,,,,,
01-08-2012,,,,,
01-09-2012,,,,,
01-10-2012,,,,,
01-11-2012,,,,,
01-12-2012,,,,,
01-01-2013,,,,,
01-02-2013,,,,,
01-03-2013,,,,,
01-04-2013,,,,,
01-05-2013,,,,,
01-06-2013,,,,,
01-07-2013,,,,,
01-08-2013,,,,,
01-09-2013,,,,,
01-10-2013,,,,,
01-11-2013,,,,,
01-12-2013,,,,,
01-01-2014,,,,,
01-02-2014,,,,,
01-03-2014,,,,,
01-04-2014,,,,,
01-05-2014,,,,,
01-06-2014,,,,,
01-07-2014,,,,,
01-08-2014,,,,,
01-09-2014,,,,,
01-10-2014,,,,,
01-11-2014,,,,,
01-12-2014,,,,,
01-01-2015,,,,,
01-02-2015,,,,,
01-03-2015,,,,,
01-04-2015,,,,,
01-05-2015,,,,,
01-06-2015,,,,,
01-07-2015,0.9590935588844267,0.959223281477322,0.9957871687940631,0.9567265951418233,0.9586248589827863
01-08-2015,0.9442219708371954,0.9628348558913957,0.9947751149855911,0.9605169817832582,0.9599324548006863
01-09-2015,0.9491165576602101,0.9620541825094506,0.996018115817916,0.9609115896846859,0.959006691802723
01-10-2015,0.9518586983511154,0.9678641560350687,0.9985639181400567,0.9637184631263667,0.9567294217953284
01-11-2015,0.9649604458959443,0.9636366074592297,1.000089671152557,0.9610366617129786,0.9551514139333075
01-12-2015,0.9617017722106295,0.9642238097142115,0.9973927592278573,0.959642576138633,0.9551494452242172
01-01-2016,0.9663609494981074,0.9606826456178365,0.9967753686500924,0.9582845988962065,0.9559533134709776
01-02-2016,0.9620405018796957,0.963234067513014,0.9966895182512697,0.9578786860372228,0.9589570964958395
01-03-2016,0.9721550649094118,0.9606365058835638,0.9961988849649406,0.9566280664502849,0.9592578497544704
01-04-2016,0.9692609032943461,0.9597237721216914,0.9965037805452491,0.9579855589011188,0.9578445316205588
01-05-2016,0.9647979774827412,0.9616485192354439,0.9954035297717292,0.9596138930597957,0.9579269826678731
01-06-2016,0.9484732604250068,0.9633836200618623,0.9949282777629183,0.9608862113173514,0.958739613152689
01-07-2016,0.9518518915289976,0.9634066629227918,0.9954820248837393,0.9620405769708037,0.9635500309430126
01-08-2016,0.9593572974934687,0.9694576987787029,0.9941363017619862,0.9594200595894146,0.9640088327926984
01-09-2016,0.967013331614389,0.9693850429981683,1.0026014981855673,0.9623397503709915,0.9667231001249584
01-10-2016,0.9697093539310263,0.9691841670916599,1.0010968667650153,0.9642202758627137,0.9667072491686592
01-11-2016,0.9765342181473544,0.9674940718674376,1.0071037344711389,0.9674604457819347,0.9693471314233508
01-12-2016,0.9791803012339834,0.9659403199243488,0.9900948320333164,0.9656693558587575,0.9722583804169036
01-01-2017,0.9767211778985123,0.9664030144750042,0.9881762980593966,0.9654639422282024,0.9732291299074762
01-02-2017,0.9793141522988966,0.9619023601798276,0.9876799824098788,0.9648720556082441,0.9764569519893068
01-03-2017,0.9764710288926476,0.9594547315976308,0.9888432441712388,0.9669959384822083,0.9776985562353209
01-04-2017,0.9818040022200467,0.9614104872141893,0.9870147932024457,0.9666483640235005,0.9772450125675849
01-05-2017,0.9838887651616904,0.963207730901168,0.9941611317509704,0.9663473044576224,0.9724971601346281
01-06-2017,0.9882950970651981,0.9672947373550995,0.9973499990278532,0.964551879476469,0.9742810159948729
01-07-2017,0.9817560453568553,0.9693995695216366,1.0002902297240348,0.965237218308053,0.9758283101720553
01-08-2017,0.9696069385564897,0.9719185298664248,0.9976010450409446,0.9639310122449747,0.9750138827034327
01-09-2017,0.9743837996388487,0.9723058561812029,0.9973011284439057,0.9659393083700492,0.9749590393789666
01-10-2017,0.966566700558068,0.9725336092154806,0.9955412576287239,0.9664512512459666,0.9725251950680796
01-11-2017,0.9736791151463753,0.9705185194367272,1.0094909467220625,0.968171513266659,0.9745781920925315
01-12-2017,0.9686785705019677,0.9666280100464534,1.0049275303406047,0.9634737902434092,0.97171782371068
01-01-2018,0.9813814695652379,0.9642935230157469,1.0090762458827351,0.9633779715512638,0.9724244260488996
01-02-2018,0.9764946904174678,0.9647751545724766,1.0076286900750882,0.963346947382649,0.9695874776507076
01-03-2018,0.978409067076279,0.9640035366014983,0.9903498498704596,0.9669957645877633,0.9663392540572601
01-04-2018,0.974535162048819,0.9658034045363861,0.9922099706679454,0.9671785707427416,0.9659370275801135
01-05-2018,0.9732435967164588,0.971135560417466,0.9960130531636432,0.9649838783119385,0.9679444276908568
01-06-2018,0.9845596106574881,0.9722940018013823,0.9935806293334891,0.96710029961258,0.9715349691794107
01-07-2018,0.9786730447826593,0.9701746099206346,0.9950746621509359,0.9661873758609022,0.9691161812126711
01-08-2018,0.9812656276637277,0.9660006220160081,0.9936826479151335,0.9657185066514117,0.9703753989987669
01-09-2018,0.9810984399309741,0.9654930023139929,0.9951454006157813,0.9632542854222061,0.9691012153220864
01-10-2018,0.9689674408067355,0.966073420302005,0.99462588198183,0.9637167989765446,0.9691475902938009
01-11-2018,0.9721368901582158,0.9684213893623348,0.9958399552687673,0.9635742695011439,0.9655219212172033
01-12-2018,0.9731851422334094,0.9655032883368998,0.998440194238446,0.963236594846742,0.9651893108882044
01-01-2019,0.9766940672939574,0.9664215398119946,1.0019286607858606,0.9613740237501199,0.9666608620392233
01-02-2019,0.9727633960822122,0.9650507117709095,0.998993705535529,0.9622664923342531,0.9649642664071997
01-03-2019,0.9729811342543827,0.9673844207034116,0.9979415396648196,0.9614695859931686,0.9643884315851636
01-04-2019,0.9716883133458609,0.9664029370561272,0.9939138804707843,0.9610567450702753,0.9594489950023527
